x0000,y0000
9.8039215686,0.
29.4117647059,0.
49.0196078431,2.
68.6274509804,3.
88.2352941176,10.
107.8431372549,20.
127.4509803922,80.
147.0588235294,226.
166.6666666667,357.
186.2745098039,429.
205.8823529412,530.
225.4901960784,592.
245.0980392157,631.
264.7058823529,606.
284.3137254902,739.
303.9215686275,877.
323.5294117647,820.
343.137254902,774.
362.7450980392,731.
382.3529411765,669.
401.9607843137,604.
421.568627451,584.
441.1764705882,538.
460.7843137255,528.
480.3921568627,448.
500.0000000000,478.
519.6078431373,418.
539.2156862745,408.
558.8235294118,332.
578.4313725490,273.
598.0392156863,227.
617.6470588235,155.
637.2549019608,171.
656.8627450980,173.
676.4705882353,137.
696.0784313725,156.
715.6862745098,142.
735.2941176471,171.
754.9019607843,193.
774.5098039216,378.
794.1176470588,822.
813.7254901961,1609.
833.3333333333,2333.
852.9411764706,2284.
872.5490196078,1410.
892.1568627451,556.
911.7647058824,207.
931.3725490196,99.
950.9803921569,58.
970.5882352941,69.
990.1960784314,76.
1009.8039215686,83.
1029.4117647059,72.
1049.0196078431,89.
1068.6274509804,87.
1088.2352941176,74.
1107.8431372549,69.
1127.4509803922,74.
1147.0588235294,76.
1166.6666666667,74.
1186.2745098039,73.
1205.8823529412,71.
1225.4901960784,88.
1245.0980392157,60.
1264.7058823529,70.
1284.3137254902,72.
1303.9215686275,76.
1323.5294117647,69.
1343.137254902,68.
1362.7450980392,82.
1382.3529411765,87.
1401.9607843137,84.
1421.568627451,89.
1441.1764705882,85.
1460.7843137255,93.
1480.3921568627,84.
1500.,98.
1519.6078431373,91.
1539.2156862745,73.
1558.8235294118,109.
1578.4313725490,97.
1598.0392156863,77.
1617.6470588235,79.
1637.2549019608,68.
1656.8627450980,67.
1676.4705882353,63.
1696.0784313725,37.
1715.6862745098,33.
1735.2941176471,32.
1754.9019607843,26.
1774.5098039216,25.
1794.1176470588,19.
1813.7254901961,15.
1833.3333333333,21.
1852.9411764706,14.
1872.5490196078,29.
1892.1568627451,41.
1911.7647058824,77.
1931.3725490196,107.
1950.9803921569,157.
1970.5882352941,213.
1990.1960784314,284.
2009.8039215686,304.
2029.4117647059,286.
2049.0196078431,228.
2068.6274509804,137.
2088.2352941176,62.
2107.8431372549,27.
2127.4509803922,14.
2147.0588235294,7.
2166.6666666667,3.
2186.2745098039,3.
2205.8823529412,3.
2225.4901960784,1.
2245.0980392157,2.
2264.7058823529,5.
2284.3137254902,2.
2303.9215686275,3.
2323.5294117647,2.
2343.137254902,1.
2362.7450980392,5.
2382.3529411765,5.
2401.9607843137,5.
2421.568627451,1.
2441.1764705882,1.
2460.7843137255,0.
2480.3921568627,2.
2500.,0.
2519.6078431373,1.
2539.2156862745,0.
2558.8235294118,0.
2578.4313725490,0.
2598.0392156863,0.
2617.6470588235,1.
2637.2549019608,2.
2656.8627450980,0.
2676.4705882353,1.
2696.0784313725,3.
2715.6862745098,4.
2735.2941176471,1.
2754.9019607843,5.
2774.5098039216,7.
2794.1176470588,3.
2813.7254901961,2.
2833.3333333333,2.
2852.9411764706,2.
2872.5490196078,1.
2892.1568627451,0.
2911.7647058824,0.
2931.3725490196,0.
2950.9803921569,1.
2970.5882352941,1.
2990.1960784314,0.
3009.8039215686,0.
3029.4117647059,0.
3049.0196078431,0.
3068.6274509804,0.
3088.2352941176,1.
3107.8431372549,0.
3127.4509803922,0.
3147.0588235294,0.
3166.6666666667,0.
3186.2745098039,1.
3205.8823529412,0.
3225.4901960784,0.
3245.0980392157,1.
3264.7058823529,0.
3284.3137254902,1.
3303.9215686275,0.
3323.5294117647,0.
3343.137254902,1.
3362.7450980392,0.
3382.3529411765,0.
3401.9607843137,0.
3421.568627451,0.
3441.1764705882,0.
3460.7843137255,0.
3480.3921568627,0.
3500.,1.
3519.6078431373,0.
3539.2156862745,0.
3558.8235294118,0.
3578.4313725490,0.
3598.0392156863,0.
3617.6470588235,2.
3637.2549019608,0.
3656.8627450980,0.
3676.4705882353,0.
3696.0784313725,0.
3715.6862745098,0.
3735.2941176471,0.
3754.9019607843,0.
3774.5098039216,0.
3794.1176470588,0.
3813.7254901961,0.
3833.3333333333,0.
3852.9411764706,0.
3872.5490196078,0.
3892.1568627451,0.
3911.7647058824,1.
3931.3725490196,0.
3950.9803921569,0.
3970.5882352941,0.
3990.1960784314,0.
4009.8039215686,0.
4029.4117647059,0.
4049.0196078431,0.
4068.6274509804,0.
4088.2352941176,0.
4107.8431372549,0.
4127.4509803922,0.
4147.0588235294,0.
4166.6666666667,0.
4186.2745098039,0.
4205.8823529412,0.
4225.4901960784,0.
4245.0980392157,0.
4264.7058823529,0.
4284.3137254902,0.
4303.9215686275,0.
4323.5294117647,0.
4343.137254902,0.
4362.7450980392,0.
4382.3529411765,0.
4401.9607843137,0.
4421.568627451,0.
4441.1764705882,0.
4460.7843137255,0.
4480.3921568627,0.
4500.,0.
4519.6078431373,0.
4539.2156862745,0.
4558.8235294118,0.
4578.4313725490,0.
4598.0392156863,0.
4617.6470588235,0.
4637.2549019608,0.
4656.8627450980,0.
4676.4705882353,0.
4696.0784313725,0.
4715.6862745098,0.
4735.2941176471,0.
4754.9019607843,0.
4774.5098039216,0.
4794.1176470588,0.
4813.7254901961,0.
4833.3333333333,0.
4852.9411764706,0.
4872.5490196078,0.
4892.1568627451,0.
4911.7647058824,0.
4931.3725490196,0.
4950.9803921569,0.
4970.5882352941,0.
4990.1960784314,0.
